lon,lat,name,description
8.853375810272741,44.93427039898205,CASTELNUOVO SCRIVIA EST,"A7 MILANO-SERRAVALLE, Km. 60+710, NORD - 15053 - CASTELNUOVO SCRIVIA - AL | Prezzo: 0.769 € | Data: 26/09/2025 11:58:57"
8.878991570916696,44.96857056587288,EUROPAM - CASTELNUOVO SCRIVIA,VIA ALCIDE DE GASPERI 2 15053 - CASTELNUOVO SCRIVIA - AL | Prezzo: 0.677 € | Data: 25/09/2025 16:00:33
8.4036588,45.1637049,kerotris  Morano sul Pò ,CASALE 40 15025 - MORANO SUL PO - AL | Prezzo: 0.678 € | Data: 26/09/2025 20:40:37
8.4036588,45.1637049,kerotris  Morano sul Pò ,CASALE 40 15025 - MORANO SUL PO - AL | Prezzo: 0.678 € | Data: 26/09/2025 20:40:37
8.7458999,44.7694688,6880,PROVINCIALE N.155 KM. 2 S.N. 15067 - NOVI LIGURE - AL | Prezzo: 0.679 € | Data: 29/09/2025 08:02:21
8.838378000123,44.760605000123,BETTOLE DI NOVI LIGURE EST,"A7 MILANO-SERRAVALLE, Km. 10, GE-MI - 15067 - NOVI LIGURE - AL | Prezzo: 0.899 € | Data: 26/09/2025 06:15:54"
8.837005000123,44.760201000123,BETTOLE DI NOVI LIGURE OVEST,"A7 MILANO-SERRAVALLE, Km. 84, MI-GE - 15067 - NOVI LIGURE - AL | Prezzo: 0.899 € | Data: 26/09/2025 06:15:58"
8.81205502096418,44.74758967623737,KEROPETROL SPA NOVI LIGURE,"VIA S.S.35 BIS KM.3+801 S.N. 15067, NOVI LIGURE (AL) SN 15067 - NOVI LIGURE - AL | Prezzo: 0.675 € | Data: 29/09/2025 06:43:26"
8.748666387557932,44.8006432348141,MARENGO NORD,"A26 (GE) VOLTRI-GRAVELLONA Raccordo con A7, Km. 9+700, DIR. OVEST - 15067 - NOVI LIGURE - AL | Prezzo: 0.899 € | Data: 26/09/2025 06:16:03"
8.751058813491795,44.80079540265655,MARENGO SUD,"A26 (GE) VOLTRI-GRAVELLONA Raccordo con A7, Km. 10, sud - 15067 - NOVI LIGURE - AL | Prezzo: 0.799 € | Data: 29/09/2025 00:00:08"
8.76436,44.77350,PV04 NOVI LIGURE,"VIA STRADA BOSCOMARENGO 20 15067, NOVI LIGURE (AL)  15067 - NOVI LIGURE - AL | Prezzo: 0.679 € | Data: 29/09/2025 07:17:28"
8.807481212691597,44.75833276498919,sabilje berisa,"DISTRIBUTORE RETITALIA VIA CIRCONVALLAZIONE,20 20 15067 - NOVI LIGURE - AL | Prezzo: 0.679 € | Data: 29/09/2025 07:37:45"
